GEOG,2000_POP,2010_POP,POP_CHANGE,TOT_POP,UND19,A20_34,A35_49,A50_64,A65_79,OV80,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,POP_HH,POP_16OV,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,WORK_AT_HOME,TOT_COMM,DROVE_AL,CARPOOL,TRANSIT,WALK_BIKE,COMM_OTHER,POP_25OV,HS,BACH,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC,TOT_HH,OWN_OCC_HU,RENT_OCC_HU,VAC_HU,HU_TOT,HU_SNG_DET,HU_SNG_ATT,HU_2UN,HU_3_4UN,HU_GT_5UN,MED_ROOMS,HA_AFT2000,HA_70_00,HA_40_70,HA_BEF1940,MED_HA,BR_0_1,BR_2,BR_3,BR_4,BR_5,HV_LT_150K,HV_150_300K,HV_300_500K,HV_GT_500K,MED_HV,TOT_EMP_RES,RES_NAICS1_TYPE,RES_NAICS2_TYPE,RES_NAICS3_TYPE,RES_NAICS4_TYPE,RES_NAICS5_TYPE,RES_NAICS1_COUNT,RES_NAICS2_COUNT,RES_NAICS3_COUNT,RES_NAICS4_COUNT,RES_NAICS5_COUNT,TOT_EMP_WORK,WORK_NAICS1_TYPE,WORK_NAICS2_TYPE,WORK_NAICS3_TYPE,WORK_NAICS4_TYPE,WORK_NAICS5_TYPE,WORK_NAICS1_COUNT,WORK_NAICS2_COUNT,WORK_NAICS3_COUNT,WORK_NAICS4_COUNT,WORK_NAICS5_COUNT,RES_CITY1_TYPE,RES_CITY2_TYPE,RES_CITY3_TYPE,RES_CITY4_TYPE,RES_CITY5_TYPE,RES_CITY1_COUNT,RES_CITY2_COUNT,RES_CITY3_COUNT,RES_CITY4_COUNT,RES_CITY5_COUNT,WORK_CITY1_TYPE,WORK_CITY2_TYPE,WORK_CITY3_TYPE,WORK_CITY4_TYPE,WORK_CITY5_TYPE,WORK_CITY1_COUNT,WORK_CITY2_COUNT,WORK_CITY3_COUNT,WORK_CITY4_COUNT,WORK_CITY5_COUNT,MedIncFam_Hcost,MedIncFam_Tcost,MedIncFam_HTcost,Ret_Hcost,Ret_Tcost,Ret_HTcost,SPFam_Hcost,SPFam_Tcost,SPFam_HTcost,ModIncFam_Hcost,ModIncFam_Tcost,ModIncFam_HTcost,IDES_EMP,EMP_CHANGE,PCT_CHANGE,AVG_VMT,RET_SALES,RES_EAV,CMRCL_EAV,IND_EAV,RAIL_EAV,FARM_EAV,MIN_EAV,TOT_EAV,WALKSCORE,OPEN_SPACE_PER_1000,TOT_ACRES,SF,Sfperc,MF,Mfperc,MIX,MIXperc,COMM,COMMperc,INST,INSTperc,IND,INDperc,TRANS,TRANSperc,AG,Agperc,OPEN,OPENperc,VACANT,VACperc
Albany Park,57655,51542,-6113,52079,13550,13719,11806,8412,3257,1335,33.77074977,15349,25003,2215,8223,1289,50477,41421,29624,26868,2703,11797,1260,25079,12398,2519,8366,1607,189,34545,26212,10482,3993,3997,3056,1912,1936,1579,51968.84984,16473,6405,10068,1718,18191,3500,164,3570,3643,7290,5.377509587,754,1552,3448,12437,-9999,4459,7331,4826,1234,341,1012,2950,1768,656,260401.6478,17570,Health Care,Accommodation and Food Service,Retail Trade,Education,Professional,2459,1929,1769,1536,1528,4876,Health Care,Retail Trade,Manufacturing,Information,Accommodation and Food Service,1046,918,594,369,353,Outside of Chicago,The Loop,Near North Side,Near West Side,Albany Park,7238,2741,1370,806,462,Outside of Chicago,Albany Park,Irving Park,West Ridge,Portage Park,2064,462,172,151,147,,,,,,,,,,,,,,,,12281,,,,,,,,,,0.539621047,1229.160488,302.8772592,0.246409856,295.5282393,0.240430963,34.52091519,0.028084954,75.0401623,0.06104993,53.80426522,0.043773182,20.18811455,0.016424311,413.6236539,0.336509071,n/a,n/a,28.1029245,0.022863511,5.474953959,0.004454222
Archer Heights,12644,13393,749,13266,4205,2948,2830,1924,947,411,31.9913242,2572,10109,114,388,82,13256,9898,6594,5808,786,3304,69,5522,3353,900,899,335,35,7944,5407,888,890,1238,854,317,425,114,43393.53612,3839,2140,1700,407,4247,1951,57,1044,958,201,5.596749226,11,833,2098,1304,-9999,357,1455,1806,402,227,534,1482,87,30,177566.9643,4612,Manufacturing,Administration,Health Care,Accommodation and Food Service,Retail Trade,672,517,483,478,466,9392,Manufacturing,Transportation,Administration,Wholesale Trade,Retail Trade,3063,2003,1216,824,699,Outside of Chicago,The Loop,Near West Side,Near North Side,Archer Heights,1810,660,258,244,232,Outside of Chicago,South Lawndale,Brighton Park,West Lawn,Archer Heights,5031,295,268,251,232,,,,,,,,,,,,,,,,15621,,,,,,,,,,1.131097961,1283.804076,168.5504569,0.13128986,68.80594191,0.05359536,18.17661924,0.014158406,52.72312355,0.041067889,37.96304059,0.029570743,333.6055192,0.259857034,555.8869363,0.432999822,n/a,n/a,15.00514554,0.011688034,33.08729291,0.025772852
Armour Square,12032,13391,1359,14068,3029,3004,2500,2806,1815,915,41.95464481,1545,438,1348,10324,413,14058,11880,6997,5919,1078,4883,188,5661,2250,1082,1113,1122,94,10115,6636,2150,2660,1147,646,263,383,121,24336.46113,5221,1858,3362,498,5717,441,753,751,1160,2599,4.854785479,874,1945,908,1991,-9999,1358,1877,2040,285,158,226,829,641,163,275865.3846,4713,Accommodation and Food Service,Health Care,Retail Trade,Manufacturing,Administration,880,656,416,386,385,4909,Accommodation and Food Service,Arts and Entertainment,Administration,Health Care,Retail Trade,1397,750,651,583,366,Outside of Chicago,The Loop,Armour Square,Near North Side,Near West Side,1511,874,589,280,259,Outside of Chicago,Bridgeport,Armour Square,Brighton Park,McKinley Park,1314,655,589,236,225,,,,,,,,,,,,,,,,8150,,,,,,,,,,1.067613478,637.4241471,56.11815354,0.088038951,79.23643807,0.124307243,9.858423032,0.015466033,89.51277156,0.1404289,11.24928064,0.01764803,18.03499949,0.028293562,343.6325199,0.539095548,n/a,n/a,15.01918641,0.023562312,14.76237447,0.023159421
Ashburn,39584,41081,1497,42752,12506,8188,8951,8557,3401,1149,36.16439024,5555,15455,20817,284,641,42132,32943,21985,19004,2981,10958,263,18028,12824,2320,2602,181,101,26767,22201,5359,2138,2888,2484,2083,2307,923,63573.16227,12823,10850,1973,658,13481,11826,50,316,472,809,6.526369168,291,2340,10112,738,-9999,397,2221,7452,2548,863,4643,5811,319,60,159074.3782,15903,Health Care,Education,Public Administration,Retail Trade,Manufacturing,2174,2048,1736,1460,1311,5064,Retail Trade,Health Care,Utilities,Accommodation and Food Service,Administration,1107,862,776,353,336,Outside of Chicago,The Loop,Near West Side,Near North Side,Ashburn,6439,3723,957,826,254,Outside of Chicago,Ashburn,Auburn Gresham,Chicago Lawn,South Shore,2686,254,165,155,92,,,,,,,,,,,,,,,,18740,,,,,,,,,,6.078466822,3109.741438,1267.654974,0.407639992,41.0147385,0.013189115,9.861780477,0.003171254,132.2606009,0.04253106,182.6937832,0.058748866,103.8056305,0.033380791,1071.498311,0.344561865,n/a,n/a,259.8666136,0.083565344,41.08500641,0.013211711
Auburn Gresham,55928,48743,-7185,45842,12050,8948,7776,9624,5420,2024,39.13457657,231,689,44402,117,403,45727,36609,20187,14910,5234,16422,568,14122,8150,999,4601,237,135,30659,25304,4273,7455,4475,2839,1103,972,306,29388.71473,17150,7498,9652,3285,20435,8335,372,4132,3666,3874,5.811174391,629,1630,9140,9036,-9999,3672,7045,6608,2139,971,4512,2768,196,22,130475.9468,14393,Health Care,Education,Retail Trade,Administration,Transportation,2954,1643,1482,1381,1172,2502,Retail Trade,Accommodation and Food Service,Transportation,Health Care,Education,565,338,274,228,194,Outside of Chicago,The Loop,Near West Side,Near North Side,Hyde Park,4881,2855,1089,1068,291,Outside of Chicago,Auburn Gresham,Greater Grand Crossing,South Shore,Chatham,952,217,79,79,77,,,,,,,,,,,,,,,,10796,,,,,,,,,,1.294533344,2411.968642,800.1402725,0.331737428,319.4367425,0.132438182,22.1472367,0.009182224,90.51849484,0.037528885,109.0889485,0.045228179,54.89306421,0.022758614,834.3641343,0.345926609,n/a,n/a,59.34399755,0.024603967,122.0357504,0.050595911
Austin,117527,98514,-19013,97643,28457,20624,18286,18392,9571,2313,34.70022781,4353,11132,81066,467,625,96495,75296,41638,33519,8110,33658,862,31821,19122,2303,9133,755,508,61770,47647,7685,12989,8564,4773,2559,2273,879,31634.30042,32037,12670,19367,5258,37295,9937,616,11234,7074,8364,5.74796052,1243,2513,8659,24880,-9999,6788,13808,11384,3333,1982,4982,6220,1280,182,168982.0022,33030,Health Care,Retail Trade,Administration,Education,Accommodation and Food Service,6253,3731,3626,2786,2733,16657,Administration,Manufacturing,Health Care,Retail Trade,Accommodation and Food Service,4756,2401,2063,2016,898,Outside of Chicago,The Loop,Near North Side,Near West Side,Austin,15019,4968,2028,1857,1283,Outside of Chicago,Austin,Belmont Cragin,Humboldt Park,North Lawndale,8643,1283,372,344,260,,,,,,,,,,,,,,,,10556,,,,,,,,,,2.045218799,4574.247078,958.052872,0.209444933,794.1884294,0.173621673,62.31247312,0.013622455,206.1060424,0.045057916,206.2583587,0.045091215,499.2045646,0.109133712,1470.444483,0.321461534,n/a,n/a,199.7012992,0.043657742,177.9785561,0.03890882
Avalon Park,11147,10185,-962,9780,2031,1816,1636,2319,1516,462,45.02466443,52,62,9521,59,86,9775,8279,4498,3493,1005,3782,178,3192,2129,393,631,8,30,7046,6238,1556,1407,841,533,351,490,154,41351.35135,3775,2500,1274,639,4413,2652,255,332,464,711,6.26565762,382,192,1851,1989,-9999,956,957,1503,655,341,1145,1215,66,74,155442.7083,3392,Health Care,Education,Public Administration,Administration,Transportation,675,487,306,284,257,2644,Health Care,Construction,Retail Trade,Wholesale Trade,Finance,1673,251,135,102,94,The Loop,Outside of Chicago,Near North Side,Near West Side,Hyde Park,912,902,289,244,91,Outside of Chicago,South Shore,Auburn Gresham,Roseland,Austin,871,116,113,110,98,,,,,,,,,,,,,,,,14159,,,,,,,,,,2.867901223,800.1087547,304.0586079,0.380021598,27.29928454,0.034119467,2.5777557,0.003221757,44.90504583,0.056123678,43.01241951,0.053758216,12.00895279,0.015009151,313.5653522,0.391903414,n/a,n/a,28.04807396,0.035055327,24.63326225,0.030787392
Avondale,43083,39262,-3821,39721,10176,12222,8105,5728,2696,794,31.98401735,12327,24563,842,1277,712,39642,31292,21289,19621,1668,10003,766,18503,9720,2263,5343,970,207,26009,18795,6888,3414,4239,2572,1374,1194,771,44663.32378,13564,5050,8514,1596,15160,2472,445,4544,4767,2920,5.541456711,1049,921,1888,11302,-9999,2835,6944,4121,707,553,716,2332,1670,324,274928.6394,14908,Accommodation and Food Service,Retail Trade,Health Care,Manufacturing,Administration,1666,1637,1634,1377,1309,10284,Administration,Retail Trade,Manufacturing,Utilities,Construction,2759,1841,1539,991,494,Outside of Chicago,The Loop,Near North Side,Near West Side,West Town,5481,2286,1181,815,537,Outside of Chicago,Avondale,Logan Square,Belmont Cragin,Irving Park,5655,398,290,256,234,,,,,,,,,,,,,,,,16583,,,,,,,,,,0.222026112,1269.297425,161.3034353,0.127080881,312.1340129,0.245910853,34.99896212,0.027573492,100.3619822,0.079068924,27.47548954,0.021646219,130.9090439,0.103135043,478.3776366,0.3768838,n/a,n/a,8.819099177,0.006948016,14.91776287,0.011752772
Belmont Cragin,78144,78743,599,79159,25314,18056,17714,11867,4780,1428,31.97512203,11276,63355,2483,1183,862,78851,58765,40580,35575,4990,18185,643,34043,21669,4940,5320,1327,786,47993,30130,5864,5597,6563,4484,2111,2261,709,43533.84842,21726,10745,10982,2492,24219,8771,517,5917,5720,3198,5.612366648,1114,2186,8070,12849,-9999,3475,10290,6548,2401,1506,2252,7022,1321,104,204817.5966,26623,Manufacturing,Retail Trade,Health Care,Administration,Accommodation and Food Service,3960,3236,3164,2920,2634,10466,Administration,Retail Trade,Accommodation and Food Service,Manufacturing,Health Care,3491,2494,956,811,539,Outside of Chicago,The Loop,Near North Side,Near West Side,Belmont Cragin,12671,2946,1335,961,897,Outside of Chicago,Belmont Cragin,Portage Park,Logan Square,Austin,5522,897,253,227,221,,,,,,,,,,,,,,,,14137,,,,,,,,,,0.818349787,2504.577926,711.9193761,0.284247245,385.3348102,0.153852194,48.23862681,0.019260182,242.3128767,0.096747989,146.5820761,0.05852566,121.3587519,0.048454772,775.6952422,0.309710963,n/a,n/a,64.77975078,0.025864538,8.356415651,0.003336457
Beverly,21992,20034,-1958,20815,5466,2890,4360,5285,2180,634,42.67223848,11604,1414,7257,101,439,20789,16495,10947,10163,784,5548,383,9490,6891,594,1734,224,47,14237,13749,7902,689,1226,1131,1110,1418,1918,90765.76577,7492,6227,1265,486,7978,6290,60,348,224,1039,7.191414497,148,237,3738,3855,-9999,860,1417,3181,1876,644,739,2662,2207,558,283454.7347,9789,Education,Public Administration,Health Care,Professional,Retail Trade,1787,1315,1236,703,685,2947,Retail Trade,Health Care,Education,Accommodation and Food Service,Administration,441,418,395,390,314,Outside of Chicago,The Loop,Near West Side,Near North Side,Beverly,3630,3028,461,444,289,Outside of Chicago,Beverly,Morgan Park,Auburn Gresham,Mount Greenwood,1520,289,73,64,57,,,,,,,,,,,,,,,,15506,,,,,,,,,,12.37623967,2038.093742,1043.623654,0.512058711,58.80296981,0.028851946,9.86203456,0.004838852,66.06563123,0.032415404,42.68778334,0.020944956,n/a,n/a,548.8854012,0.269313128,n/a,n/a,257.6114287,0.126398224,10.55483891,0.00517878
Bridgeport,33694,31977,-1717,33878,7632,8630,6797,7283,2528,1007,36.36659811,10818,9546,951,11702,861,33840,27681,18834,16720,2114,8847,360,16069,8540,2442,3380,1478,229,23593,18631,5819,3729,3202,2089,1382,1302,816,43056.49241,12519,5609,6911,1310,13831,3873,438,3622,3694,2168,5.302083333,1674,1607,1659,8890,-9999,2043,5442,4626,1297,422,709,2751,1747,385,267322.8346,12907,Accommodation and Food Service,Health Care,Education,Retail Trade,Manufacturing,1790,1386,1178,1148,1095,4703,Manufacturing,Retail Trade,Education,Accommodation and Food Service,Wholesale Trade,1413,448,415,390,383,Outside of Chicago,The Loop,Near West Side,Near North Side,Armour Square,3960,2690,901,875,655,Outside of Chicago,Bridgeport,New City,Brighton Park,McKinley Park,1832,526,132,118,106,,,,,,,,,,,,,,,,11837,,,,,,,,,,1.406756213,1338.189154,243.5632646,0.182009594,224.911109,0.168071239,31.11269615,0.023249849,55.91002938,0.041780364,32.91951114,0.024600043,135.1449773,0.100990938,491.1837219,0.367051041,n/a,n/a,47.65808698,0.035613864,75.78575763,0.056633068
Brighton Park,44912,45368,456,44202,15143,9824,10091,6179,2139,826,30.74514793,2844,37620,677,2955,106,44106,32166,20579,17856,2721,11587,248,17136,10386,2652,3145,782,171,25686,14305,2245,3540,4726,1965,937,632,230,36077.44108,12030,5554,6476,1963,13993,3206,263,6402,3541,546,5.346905537,468,912,2675,9938,-9999,1217,6154,4998,1047,577,2249,2940,313,52,165602.8369,12260,Manufacturing,Accommodation and Food Service,Retail Trade,Administration,Health Care,2044,1429,1364,1334,1231,4427,Manufacturing,Retail Trade,Wholesale Trade,Accommodation and Food Service,Transportation,1328,779,661,357,349,Outside of Chicago,The Loop,Near North Side,Near West Side,Brighton Park,4762,1516,672,645,414,Outside of Chicago,Brighton Park,South Lawndale,Gage Park,West Lawn,2056,414,129,129,104,,,,,,,,,,,,,,,,13383,,,,,,,,,,0.183770934,1742.258738,246.0825852,0.141243421,304.0917533,0.174538802,27.38520041,0.015718217,79.46826679,0.045612207,46.85359734,0.026892445,276.7525712,0.158846998,697.3621512,0.400263254,n/a,n/a,8.12304284,0.004662363,56.13957024,0.032222292
Burnside,3294,2916,-378,2601,751,479,333,568,364,106,37.39895833,0,0,2601,0,0,2601,2074,1089,855,234,985,15,760,337,123,300,0,0,1680,1323,143,458,221,56,54,74,24,23632.07547,887,405,482,389,1276,683,12,219,174,188,5.703557312,212,143,420,501,-9999,290,276,458,235,17,287,112,6,0,116100,868,Health Care,Education,Retail Trade,Administration,Accommodation and Food Service,170,94,85,80,78,1760,Transportation,Manufacturing,Retail Trade,Health Care,Wholesale Trade,1036,404,104,88,58,Outside of Chicago,The Loop,Near North Side,Near West Side,Grand Boulevard,307,176,75,63,17,Outside of Chicago,Roseland,Auburn Gresham,Chatham,South Shore,616,82,79,65,57,,,,,,,,,,,,,,,,15618,,,,,,,,,,2.698497105,390.174082,67.20556194,0.17224507,13.89242205,0.035605702,1.649768543,0.004228288,14.60364296,0.037428532,7.372730935,0.018896004,116.3595538,0.298224713,130.6471602,0.334843256,n/a,n/a,7.018790969,0.01798887,31.42445061,0.080539564
Calumet Heights,15974,13812,-2162,13732,2760,1823,2822,3008,2279,1040,46.72941176,308,443,12835,5,141,13725,11557,6486,5392,1094,5071,108,5091,3380,369,1237,79,26,10353,9160,2841,1337,1352,912,790,711,267,49922.94521,5369,4176,1193,621,5990,4491,183,544,505,235,6.453326457,94,443,3985,1468,-9999,322,1450,3121,759,338,1972,1970,125,86,153710.9375,4533,Health Care,Education,Public Administration,Administration,Retail Trade,838,639,443,382,372,2150,Health Care,Accommodation and Food Service,Retail Trade,Administration,Other Service,1262,261,180,77,76,Outside of Chicago,The Loop,Near North Side,Near West Side,Hyde Park,1413,1161,355,324,116,Outside of Chicago,South Shore,Roseland,South Chicago,Auburn Gresham,1226,49,49,49,38,,,,,,,,,,,,,,,,15263,,,,,,,,,,1.535345368,1120.896268,436.2106484,0.38916237,49.68207769,0.044323528,3.592654225,0.003205162,35.94851314,0.032071222,30.24765505,0.02698524,10.15411592,0.009058926,463.3579473,0.413381649,n/a,n/a,21.08336259,0.018809379,70.61929386,0.063002524
Chatham,37275,31028,-6247,31392,7526,5674,5959,7323,3281,1629,41.0222331,389,287,30329,109,278,31345,25266,14979,11933,3046,10286,351,10954,5892,911,3819,224,109,21854,18894,4895,5574,3490,2134,1186,850,325,32221.74658,13560,5027,8534,2972,16533,5366,454,1580,2938,6175,5.424884259,415,1495,7717,6905,-9999,4594,5575,4653,1288,424,2710,2005,243,45,140956.5217,9993,Health Care,Education,Administration,Retail Trade,Accommodation and Food Service,2040,1271,928,915,786,3855,Retail Trade,Finance,Health Care,Accommodation and Food Service,Manufacturing,1858,627,348,328,160,Outside of Chicago,The Loop,Near North Side,Near West Side,Hyde Park,2833,2417,771,739,260,Outside of Chicago,Chatham,South Shore,Auburn Gresham,Roseland,1743,174,128,124,114,,,,,,,,,,,,,,,,11046,,,,,,,,,,1.111345233,1889.82256,527.917895,0.279347864,255.6696329,0.135287639,17.70624295,0.009369262,178.9980698,0.094716866,69.07877111,0.036553046,46.85586672,0.024793792,685.5078653,0.362736629,n/a,n/a,34.88734955,0.018460648,73.20086639,0.038734254
Chicago Lawn,61412,55628,-5784,55551,18975,12949,11042,8239,3484,862,30.39176092,1873,26377,26100,529,672,55255,40742,25571,19975,5588,15171,529,18718,11300,2703,4126,555,34,31956,22118,2733,6074,4888,2322,1272,864,285,33121.70475,15705,7021,8684,3025,18730,8045,114,4071,3609,2851,5.810556079,297,1914,10616,5903,-9999,3259,5480,6749,2126,1116,4742,2078,149,52,118931.9667,15976,Health Care,Manufacturing,Administration,Retail Trade,Accommodation and Food Service,2363,1917,1751,1718,1628,3477,Retail Trade,Health Care,Accommodation and Food Service,Finance,Transportation,1638,421,314,204,199,Outside of Chicago,The Loop,Near West Side,Near North Side,New City,6906,2082,971,896,252,Outside of Chicago,Chicago Lawn,Gage Park,Ashburn,West Lawn,1780,194,88,74,72,,,,,,,,,,,,,,,,13492,,,,,,,,,,5.552011621,2256.186074,672.6226912,0.298123767,255.7734987,0.113365427,34.14004797,0.015131752,105.4977577,0.046759334,65.37077737,0.028974019,54.71098352,0.024249322,706.7595108,0.313254088,n/a,n/a,308.4197976,0.136699628,52.89100968,0.023442663
Clearing,22331,23139,808,24962,6574,5448,5574,4068,2287,1011,36.1279338,11871,12361,140,319,271,24952,19513,13331,11966,1365,6182,159,11692,8264,1204,1838,302,84,16941,14212,2897,1708,1766,1897,1437,1277,445,60623.91681,8530,6034,2496,622,9152,5234,525,529,831,2007,5.715171408,277,2217,5767,891,-9999,971,2618,4227,926,410,1528,4130,364,0,183710.8954,10014,Public Administration,Education,Manufacturing,Health Care,Retail Trade,1202,1078,1027,973,908,3689,Manufacturing,Wholesale Trade,Construction,Professional,Real Estate,855,549,414,391,263,Outside of Chicago,The Loop,Near West Side,Near North Side,Garfield Ridge,4371,2323,433,394,227,Outside of Chicago,Clearing,Garfield Ridge,Brighton Park,Chicago Lawn,2310,223,113,68,66,,,,,,,,,,,,,,,,17022,,,,,,,,,,1.377821992,1633.26891,517.2850057,0.316717598,77.17083418,0.047249313,10.4125087,0.006375257,45.0972196,0.027611632,19.76108733,0.012099102,131.3054025,0.080394234,782.2995146,0.478977779,n/a,n/a,34.39319257,0.021057887,15.54414464,0.009517199
Douglas,26470,18238,-8232,20323,4185,6391,3617,3369,1969,792,33.49248094,2165,485,14365,2913,395,17720,17470,9591,8101,1490,7879,327,7366,3240,448,2712,897,69,13384,11560,5422,4407,1809,1480,750,445,385,29184.78261,9276,1688,7588,1267,10543,706,675,290,604,8253,3.972567445,1120,3195,4884,1344,-9999,5067,3162,1633,558,123,531,591,496,70,224835.5263,6383,Health Care,Education,Administration,Accommodation and Food Service,Retail Trade,1170,790,582,513,490,6188,Education,Health Care,Administration,Real Estate,Accommodation and Food Service,2488,921,629,615,428,The Loop,Outside of Chicago,Near North Side,Near West Side,Near South Side,1651,1620,611,560,221,Outside of Chicago,Douglas,Auburn Gresham,Lake View,South Shore,2339,156,152,144,144,,,,,,,,,,,,,,,,11547,,,,,,,,,,3.673449564,1052.858844,70.36791504,0.066835089,166.3824515,0.15802921,3.524405597,0.003347463,51.13749828,0.048570137,230.8935119,0.219301489,0.811398638,0.000770662,333.1177392,0.316393542,n/a,n/a,74.65551548,0.070907431,121.9684084,0.115844977
